epoch,auc,loss,val_auc,val_loss
0,0.5069890022277832,0.6945580840110779,0.5182697176933289,0.6931143403053284
1,0.5159152746200562,0.693096399307251,0.5328844785690308,0.6891770362854004
2,0.5317678451538086,0.6912168860435486,0.5392966270446777,0.6891497373580933
3,0.5342949628829956,0.6898507475852966,0.5386529564857483,0.6888192892074585
4,0.5418555736541748,0.6889069676399231,0.5450552701950073,0.6868170499801636
5,0.5398092865943909,0.6887769103050232,0.5450232028961182,0.686952531337738
6,0.5493614077568054,0.6864734292030334,0.5559460520744324,0.6867108941078186
7,0.5487127304077148,0.6866411566734314,0.5494105815887451,0.6884401440620422
8,0.5477675795555115,0.6862488389015198,0.549454927444458,0.6865900158882141
9,0.5535304546356201,0.6845694184303284,0.5489222407341003,0.6920254826545715
10,0.5661520957946777,0.681624174118042,0.5589966773986816,0.7039577960968018
11,0.569891095161438,0.6782660484313965,0.5414767861366272,0.7088944315910339
12,0.5777652859687805,0.6756710410118103,0.5319818258285522,0.7293712496757507
13,0.5846997499465942,0.6739593744277954,0.5507299900054932,0.7189897894859314
14,0.5900894403457642,0.6705610752105713,0.5425372123718262,0.7426217198371887
