epoch,auc,loss,val_auc,val_loss
0,0.5070278644561768,0.6944032311439514,0.5626579523086548,0.6876577734947205
1,0.5359097719192505,0.6914324164390564,0.5680575370788574,0.6844715476036072
2,0.5466492176055908,0.6903665661811829,0.5660413503646851,0.6856384873390198
3,0.5527032613754272,0.6888406276702881,0.5566710233688354,0.6867333650588989
4,0.5650743842124939,0.6872299909591675,0.5733904838562012,0.683387041091919
5,0.5726333260536194,0.6855224370956421,0.5729240775108337,0.685966968536377
6,0.5796869993209839,0.6839475631713867,0.5560836791992188,0.6860917806625366
7,0.5853998064994812,0.6810387372970581,0.5868697166442871,0.6828842163085938
8,0.6020669937133789,0.6777923703193665,0.5913166999816895,0.6826881766319275
9,0.6159777045249939,0.6717296838760376,0.5711570978164673,0.6851929426193237
10,0.635895311832428,0.6633564829826355,0.5697109699249268,0.6852641105651855
11,0.6400018334388733,0.6617175340652466,0.5687386989593506,0.6868883371353149
12,0.6589859127998352,0.6526429653167725,0.5557776689529419,0.6989940404891968
