epoch,loss,val_loss
0,0.684565007686615,0.6301573514938354
1,0.4861007034778595,0.41046708822250366
2,0.3867915868759155,0.39281150698661804
3,0.3560992479324341,0.37982532382011414
4,0.33343446254730225,0.37111029028892517
5,0.3000184893608093,0.38901442289352417
6,0.2853526175022125,0.4146933853626251
7,0.2510473430156708,0.4373089671134949
8,0.22361701726913452,0.5083146691322327
9,0.1914074420928955,0.5405070781707764
10,0.16662593185901642,0.5428605079650879
11,0.14444491267204285,0.6396649479866028
12,0.12784463167190552,0.683552086353302
13,0.1100245788693428,0.7092111706733704
14,0.09703949838876724,0.7509143948554993
0,0.4741479158401489,0.3540748059749603
0,0.684565007686615,0.6301573514938354
1,0.4861007034778595,0.41046708822250366
2,0.3867915868759155,0.39281150698661804
3,0.3560992479324341,0.37982532382011414
4,0.33343446254730225,0.37111029028892517
5,0.3000184893608093,0.38901442289352417
6,0.2853526175022125,0.4146933853626251
7,0.2510473430156708,0.4373089671134949
8,0.22361701726913452,0.5083146691322327
9,0.1914074420928955,0.5405070781707764
10,0.16662593185901642,0.5428605079650879
11,0.14444491267204285,0.6396649479866028
12,0.12784463167190552,0.683552086353302
13,0.1100245788693428,0.7092111706733704
14,0.09703949838876724,0.7509143948554993
0,0.684565007686615,0.6301573514938354
1,0.4861007034778595,0.41046708822250366
2,0.3867915868759155,0.39281150698661804
3,0.3560992479324341,0.37982532382011414
4,0.33343446254730225,0.37111029028892517
5,0.3000184893608093,0.38901442289352417
6,0.2853526175022125,0.4146933853626251
7,0.2510473430156708,0.4373089671134949
8,0.22361701726913452,0.5083146691322327
9,0.1914074420928955,0.5405070781707764
10,0.16662593185901642,0.5428605079650879
11,0.14444491267204285,0.6396649479866028
12,0.12784463167190552,0.683552086353302
13,0.1100245788693428,0.7092111706733704
14,0.09703949838876724,0.7509143948554993
0,0.684565007686615,0.6301573514938354
1,0.4861007034778595,0.41046708822250366
2,0.3867915868759155,0.39281150698661804
3,0.3560992479324341,0.37982532382011414
4,0.33343446254730225,0.37111029028892517
5,0.3000184893608093,0.38901442289352417
6,0.2853526175022125,0.4146933853626251
7,0.2510473430156708,0.4373089671134949
8,0.22361701726913452,0.5083146691322327
9,0.1914074420928955,0.5405070781707764
10,0.16662593185901642,0.5428605079650879
11,0.14444491267204285,0.6396649479866028
12,0.12784463167190552,0.683552086353302
13,0.1100245788693428,0.7092111706733704
14,0.09703949838876724,0.7509143948554993
